x,y,z,labels
0.66953415,11.472617,8.892587,14
1.0373076,13.442662,8.078542,-1
2.1539743,11.66568,8.581108,3
1.3741394,12.567369,8.053805,-1
1.9541467,12.703364,9.778591,8
1.41798,12.063344,8.9683075,-1
3.1253445,11.393045,10.194733,-1
3.1416287,11.337119,9.885265,-1
0.18403293,12.909459,8.662618,-1
1.8874993,14.114376,9.320741,-1
1.5370787,12.67109,9.810828,-1
2.3117087,13.963286,9.173295,-1
0.55821234,11.399793,8.247856,-1
1.9901657,11.755503,8.605846,3
1.998419,12.133393,8.52334,3
2.3277462,10.690607,11.499247,2
3.1491163,10.981497,8.404873,1
2.383168,13.095355,10.396273,-1
1.2322919,11.781638,9.612745,11
1.4979068,13.260524,7.7809677,22
1.1505187,12.327163,9.613858,-1
2.7778049,12.324634,10.811099,7
2.5979605,11.784031,8.112029,3
1.4579504,12.828908,10.110547,-1
1.6837752,12.152251,10.949987,7
1.718673,12.054826,10.978667,7
1.3318825,12.90435,9.25377,-1
1.7834343,13.742431,10.478183,-1
2.490257,11.935992,10.369427,-1
0.55144256,12.261689,8.697401,17
2.118495,11.710269,10.880958,-1
3.0979726,11.038942,8.449936,1
2.134276,11.478663,9.833216,-1
0.7955338,11.272693,9.0449505,14
1.2402238,11.916366,9.375917,11
1.0360777,12.612341,8.649515,18
1.6715019,12.296865,10.880164,7
-0.17744404,12.311154,8.513742,19
0.5925823,12.278221,8.408783,17
1.107607,12.32646,9.133746,-1
1.09962,12.348814,9.074891,-1
1.8378718,12.494634,9.025445,-1
1.3203341,11.447572,8.133908,10
1.7684631,11.910455,10.953224,-1
0.2170475,11.908448,9.0190735,-1
1.1648422,11.342457,8.196393,10
2.6145327,11.663614,10.255032,-1
2.2926352,11.553628,11.012391,-1
0.81857705,11.559929,9.0499935,14
2.095371,13.5026865,8.272963,-1
2.540783,10.982336,11.240144,2
0.57720286,11.758681,9.782288,-1
2.4934816,11.19079,9.66673,-1
0.6729501,11.499593,9.055422,14
0.92086023,12.531027,9.2040825,-1
3.132791,10.995413,8.413886,1
1.843302,13.204795,9.643433,8
3.1154032,11.029112,8.413876,1
1.3123933,11.483982,8.242949,10
0.7645827,12.592723,8.878412,-1
0.71332544,11.489195,8.899366,14
2.366272,13.670375,9.483675,16
1.8343136,12.971892,9.365892,8
1.1223378,14.005287,8.663932,12
-0.034691107,11.73352,9.091495,20
0.3783333,11.705921,8.768042,-1
0.92075664,13.443197,8.524907,-1
0.85402787,13.489704,9.194593,-1
1.4057678,12.738719,7.8950515,-1
2.0053034,11.157729,9.907446,-1
2.226384,13.755488,9.68699,16
4.2236047,12.358695,10.178231,0
1.8997966,12.137261,10.966744,7
